_id,question_number,faculty_id,question_text,image_link_if_any_in_question,question_type,difficulty_tag,option_1,option_2,option_3,option_4,correct_answers
6686c2f13bf177773d3022c0,11,CEN-2103,Which of the following is NOT a requirement for a set of vectors to be a basis?,NA,Single correct,Easy,The vectors must be linearly independent,The vectors must span the space, The vectors must be orthogonal,The number of vectors must equal the dimension of the space,3
6686c2f13bf177773d3022c1,12,CEN-2103,What is the dimension of a vector space spanned by,https://drive.google.com/file/d/1-vxgelrC842EjK5Hcvc5mR0xJIGddOz1/view?usp=sharing,Single correct,Easy,1,2,3,4,2
6686c2f13bf177773d3022c2,13,CEN-2103,Let \\( P_3 \\) be the vector space of polynomials of degree at most 3. \\nWhich of the following sets is a basis for \\( P_3 \\)?,NA,Single correct,Hard,"\\{1, x, x^2, x^3, x^4\\}","\\{1, x-1, (x-1)^2, (x-1)^3\\}","\\{x, x^2, x^3\\}","\\{1, x+1, (x+1)^2, x^3\\}",2
6686c2f13bf177773d3022c3,14,CEN-2103,Which of the following is NOT a valid basis for \\( \\mathbb{R}^2 \\)?\\n,NA,Single correct,Easy,https://drive.google.com/file/d/15wKXUYnoZVgL7y2qUxLN0YV-SIT9MN50/view?usp=drive_link,https://drive.google.com/file/d/15Amko1N4EsEFLyW5WHQPkSpGLanmYo7S/view?usp=drive_link,https://drive.google.com/file/d/1QyUwyFrvvezSX0XMRWEbitL4sM-N7flC/view?usp=drive_link,https://drive.google.com/file/d/13qTSUkG4Zv5WWvWkS6jd2pTBah-80WOd/view?usp=drive_link,4
6686c2f13bf177773d3022c4,15,CEN-2103,"If a matrix A is symmetric and orthogonal, what can be said about its eigenvalues?",NA,Single correct,Medium,They are all positive,They are all negative,They are all either 1 or -1,They are all complex\\n,3
6686c2f13bf177773d3022c5,16,CEN-2103,What is the geometric interpretation of the determinant of a \\( 3 \\times 3 \\) \\northogonal matrix?\\n,NA,Single correct,Hard,The volume of the unit cube after transformation,The area of the unit square after \\ntransformation,It's always 1,"It's either 1 or -1, indicating whether the\\n transformation includes a reflection",4
6686c2f13bf177773d3022c6,17,CEN-2103,Consider the matrix A.Which of the following statements is true?\\n,https://drive.google.com/file/d/1s7Z6wsxDp_jnsnAZesD4ZAAlFkTI4Qpf/view?usp=drive_link,Single correct,Medium,The columns of A form an orthogonal \\nbasis for \\mathbb{R}^3\\n,The columns of A are \\nlinearly dependent\\n,The columns of A form an \\northonormal basis for \\mathbb{R}^3\\n,"The columns of A form a basis \\nfor \\mathbb{R}^3, but are not orthogonal\\n",4
6686c2f13bf177773d3022c7,18,CEN-2103,Consider the matrix A.Which of the following matrices represents \\nan orthonormal basis for the null space of A?\\n,https://drive.google.com/file/d/1WFtKDMSox_S295mQpOUtD8Ug9o_XiSPI/view?usp=drive_link,Single correct,Medium,https://drive.google.com/file/d/1YIuJeTyvOr2NvfIeHV48smjclVIJlENB/view?usp=drive_link,https://drive.google.com/file/d/1T-M9Si17qVzsqCrOXh62sXS2c_LykLwq/view?usp=drive_link,https://drive.google.com/file/d/1yMBKkqAZipZI7ywNblpMe9NsblXnV7Yf/view?usp=drive_link,There is no non-zero vector in the null space of A,2
6686c2f13bf177773d3022c8,19,CEN-2103,Which of the following matrices could represent a valid change of basis matrix? ,NA,Multi correct,Medium,https://drive.google.com/file/d/1srKKD8E5cTQftnzgDyCHOhA4oL92yfLr/view?usp=drive_link,https://drive.google.com/file/d/1Zji69aZtyRL_Gwcb7ZcjP5RIZR676pE-/view?usp=drive_link,https://drive.google.com/file/d/19EBGmVCBej4q4Jt1dGaaZwJgDWDBsnvc/view?usp=drive_link,https://drive.google.com/file/d/1dqadkRHQtVN-Thweeq_PWUV7D-NueIN-/view?usp=drive_link,"1,2,4"
6686c2f13bf177773d3022c9,20,CEN-2103,For the matrix A.which of the following statements are true?,NA,Multi correct,Hard,The rank of A is 1,The nullity of A,\\begin{pmatrix} 2 \\\\ -1 \\end{pmatrix} \\in \\text{Null}(A),\\( A^T A \\) is invertible,"1,2,3"
6686c2f13bf177773d3022ca,21,CEN-2103,"Consider the vectors \\( u = \\begin{pmatrix} 1 \\\\ 2 \\\\ 1 \\end{pmatrix} \\),\\n \\( v = \\begin{pmatrix} 0 \\\\ 1 \\\\ -1 \\end{pmatrix} \\), and \\n\\( w = \\begin{pmatrix} 2 \\\\ 1 \\\\ 1 \\end{pmatrix} \\). \\nWhich of the following statements are true? ",NA,Multi correct,Medium,"\\( \\{u, v, w\\} \\) forms a basis for \\( \\mathbb{R}^3 \\)","The vector \\( \\begin{pmatrix} 3 \\\\ 4 \\\\ 1 \\end{pmatrix} \\) \\ncan be expressed as a linear combination \\nof \\( u, v, \\) and \\( w \\)","The set \\( \\{u, v, w\\} \\) is orthogonal",The projection of \\( w \\) onto \\( u \\) is \\( \\begin{pmatrix} \\frac{4}{3} \\\\ \\frac{8}{3} \\\\ \\frac{4}{3} \\end{pmatrix} \\),"1,2"
6686c2f13bf177773d3022cb,22,CEN-2103,"If \\( u = \\begin{pmatrix} a \\\\ b \\\\ c \\end{pmatrix} \\) is a\\n unit vector (i.e., \\( ||u|| = 1 \\)), which of the following equations must be true?\\n",NA,Single correct,Medium,a + b + c = 1,a^2 + b^2 + c^2 = 1,abc = 1\\n,"\\max(a, b, c) = 1",2
6686c2f13bf177773d3022cc,23,CEN-2103,"If two vectors \\( u = \\begin{pmatrix} a \\\\ b \\end{pmatrix} \\) \\nand \\( v = \\begin{pmatrix} c \\\\ d \\end{pmatrix} \\) are\\n orthogonal, which of the following equations must be true?\\n",NA,Single correct,Easy,a + c = 0,b + d = 0,ac + bd = 0,a^2c^2 + b^2d^2 = 0,3
6686c2f13bf177773d3022cd,24,CEN-2103,"In \\( \\mathbb{R}^3 \\), which of the following best describes the\\n geometric relationship between two orthogonal vectors?\\n",NA,Single correct,Easy,They are parallel\\n, They are perpendicular,They have the same length,They point in opposite directions,2
6686c2f13bf177773d3022ce,25,CEN-2103,Consider the following matrix A:,https://drive.google.com/file/d/1zGEGBT6F_x8Lc35y9ADGnQWWVrGiFzJK/view?usp=drive_link,Single correct,Hard,A(A^T A)^{-1}A^T\\n,A^T (AA^T )^{-1}A\\n,(A^T A)^{-1}A^T\\n,A^T A(A^T A)^{-1},1
