_id,question_number,faculty_id,question_text,image_link_if_any_in_question,question_type,difficulty_tag,option_1,option_2,option_3,option_4,correct_answers
6686c3f93bf177773d3022da,11,CEN-2105,"Let \\( V \\) be a vector space, and let \\( W \\) be a subset of \\( V \\). What does it mean when we say that \\( W \\) is closed under scalar multiplication?",NA,Single correct,Medium,"Whenever \\( x \\) is in \\( V \\) and \\( c \\) is a scalar, then \\( c \\cdot x \\) is in \\( W \\)","Whenever \\( x \\) is in \\( V \\) and \\( c \\) is a scalar, then \\( c \\cdot x \\) is in \\( V \\)","Whenever \\( x \\) is in \\( V \\) and \\( c \\) is a scalar, then \\( c \\cdot x \\) is in \\( W \\)","Whenever \\( x \\) is in \\( V \\) and \\( c \\) is a scalar, then \\( c \\cdot x \\) is in \\( V \\)",3
6686c3f93bf177773d3022db,12,CEN-2105,Which of the following statements best describes a vector space \\( V \\) over a field \\( \\mathbb{F} \\)?,NA,Single correct,Easy,\\( V \\) must have closure under addition and scalar multiplication,\\( V \\) must have closure under addition only,\\( V \\) must have closure under scalar multiplication only,\\( V \\) must be a set of all possible vectors,1
6686c3f93bf177773d3022dc,13,CEN-2105,What is the dimension of the left null space of the matrix \\( A \\)?\\n,https://drive.google.com/file/d/17fIrdb0GTUyoTIS_k8-7YYPz06mGo4py/view?usp=drive_link,Single correct,Easy,1,2,3,0,4
6686c3f93bf177773d3022dd,14,CEN-2105,Which vector is in both the null space and the left null space of \\( D \\)?\\n,https://drive.google.com/file/d/1_0acUDzxqVlkY2IMCajafIBFOSXf_qS-/view?usp=drive_link,Single correct,Medium,https://drive.google.com/file/d/1FCqwBMUnQnPpwXNsRsa_hPANBRWj9cdY/view?usp=drive_link,https://drive.google.com/file/d/152qfAQwKkcDbPMSQ4OtQcgTDziagZd5F/view?usp=drive_link,https://drive.google.com/file/d/1SKC0p9UtazkJ-6JKIgcOgV1XWWjflNRC/view?usp=drive_link,https://drive.google.com/file/d/1Js6m9U-498vqGHp571ODB9-h1_YwhQRo/view?usp=drive_link,1
6686c3f93bf177773d3022de,15,CEN-2105,What is the dimension of the left null space of the matrix \\( E \\)?\\n,https://drive.google.com/file/d/1vGFCqBdMZ7IxlOf6rHWkFflrJJ6IL-l6/view?usp=drive_link,Single correct,Easy,1,2,0,3,3
6686c3f93bf177773d3022df,16,CEN-2105,Which of the following statements about the null space and left null space of a matrix \\( A \\) are true?,NA,Single correct,Medium,The dimension of the null space of  \\( A \\) plus the dimension of the left null space of \\n\\( A \\)equals the number of columns of \\( A \\),The null space of \\n\\( A \\) is always equal to the left null space of \\n\\( A \\) ,The null space and the left null space of \\n\\( A \\)  are always orthogonal to each other,The rank of \\n\\( A \\)  plus the dimension of the left null space of \\n\\( A \\) equals the number of rows of \\n\\( A \\) ,1
6686c3f93bf177773d3022e0,17,CEN-2105,Consider a matrix \\( B \\) such that \\( B^T B \\) is invertible. What can be said about the null space of \\( B \\)?,NA,Single correct,Easy,The null space of \\( B \\) is trivial (contains only the zero vector),The null space of \\( B \\) is non-trivial (contains vectors other than the zero vector),The null space of \\( B \\) is infinite-dimensional,The null space of \\( B \\) is equal to the left null space of \\( B \\),1
6686c3f93bf177773d3022e1,18,CEN-2105,Consider a matrix \\( A \\) such that \\( A^T A \\) is invertible. Which of the following statements are true about the null space and left null space of \\( A \\)?,NA,Multi correct,Easy,The dimension of the null space of \\( A \\) is 0,The dimension of the left null space of \\( A \\) is 0,The null space of \\( A \\) is trivial (contains only the zero vector),The left null space of \\( A \\) is orthogonal to the column space of \\( A \\),"1,3"
6686c3f93bf177773d3022e2,19,CEN-2105,"Which of the following conditions ensures that a set of vectors \\( \\{\\mathbf{v}_1, \\mathbf{v}_2, \\ldots, \\mathbf{v}_k\\} \\) in a vector space \\( V \\) spans \\( V \\)",NA,Single correct,Easy,The dimension of the vector space \\( V \\) is equal to \\( k \\),"The vectors \\( \\{\\mathbf{v}_1, \\mathbf{v}_2, \\ldots, \\mathbf{v}_k\\} \\) are linearly independent","The dimension of the span of \\( \\{\\mathbf{v}_1, \\mathbf{v}_2, \\ldots, \\mathbf{v}_k\\} \\) is equal to the dimension of \\( V \\)","The vectors \\( \\{\\mathbf{v}_1, \\mathbf{v}_2, \\ldots, \\mathbf{v}_k\\} \\) form a basis for \\( V \\)",4
6686c3f93bf177773d3022e3,20,CEN-2105,Which of the following statements are true for the matrix \\( C \\)?,https://drive.google.com/file/d/11dX58_JOOTkEQ6YLsi49oxfv_IXsCNxC/view?usp=drive_link,Multi correct,Medium,The column space of \\( C \\)has dimension 2.,The null space of  \\( C \\)  is trivial.,The left null space of \\n\\( C \\)is orthogonal to the column space of  \\( C \\).,The rank of  \\( C \\) is 2.,"1,4"
6686c3f93bf177773d3022e4,21,CEN-2105,Which of the following statements are true about matrix \\( A \\)?,https://drive.google.com/file/d/1F6C6PqgaKcBy-o2CyOjiiznUGv9D1gxD/view?usp=drive_link,Single correct,Easy,The dimension of the null space of \\( A \\) is 1,The rank of \\( A \\) is 2,The left null space of \\( A \\) is non-trivial,\\( A \\) is invertible,2
6686c3f93bf177773d3022e5,22,CEN-2105,Let \\( V = \\mathbb{R}^3 \\). Determine which of the following sets are subspaces of \\( V \\),NA,Multi correct,Easy,"\\( \\{(x, y, z) \\in \\mathbb{R}^3 \\mid x + y = 0 \\} \\)","\\( \\{(x, y, z) \\in \\mathbb{R}^3 \\mid x = y = z \\} \\)","\\( \\{(x, y, z) \\in \\mathbb{R}^3 \\mid x + y + z = 1 \\} \\)","\\( \\{(x, y, z) \\in \\mathbb{R}^3 \\mid x^2 + y^2 + z^2 = 0 \\} \\)","1,4"
