question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer
28,FID28,The value of function \( f(x)=x+\frac{1}{x} \) at the points of minimum and maximum are respectively,NA,Easy,Single correct,-2 and 2,2 and -2,-1 and 1,1 and -1,4
29,FID29,The value of \( \int_{0}^{5 \pi}(2-\sin x) d x \) is,NA,Easy,Single correct,\( > 0 \),2,0,Undefined,1
30,FID30,The unit normal to the plane \( 2 x+y+2 z=6 \) can be expressed in the vector form as,NA,Easy,Single correct,\( i 3+j 2+k 2 \),\( i \frac{2}{3}+j \frac{1}{3}+k \frac{2}{3} \),\( i \frac{1}{3}+j \frac{1}{2}+k \frac{1}{2} \),\( i \frac{2}{6}+j \frac{1}{6}+k \frac{2}{6} \),2
31,FID31,The function \( f(x)=3 x(x-2) \) has a,NA,Easy,Single correct,minimum at =1,maximum at =1,minimum at =2,maximum at =2,1
32,FID32,The value of integral \( \int_{-2}^{2} \frac{d x}{x^{2}} \) is,NA,Easy,Single correct,,0.25,1,\( \infty \),4
33,FID33,"The value of \( \xi \) in the mean value theorem of \[ f(b)-f(a)=(b-a) f^{\prime}(\xi) \] for f\( (x)=\mathrm{A} x^{2}+\mathrm{B} x+\mathrm{C} \) in \( (a, b) \) is",NA,Easy,Single correct,b+a,b-a,\( \frac{(b+a)}{2} \),\( \frac{(b-a)}{2} \),3
34,FID34,The function \( f(x)=x^{3}-6 x^{2}+9 x+25 \) has,NA,Easy,Single correct,a maxima at x= 1 and a minima at x= 3,a maxima at x = 3 and a minima at x = 1,"no maxima, but a minima at x =1","a maxima at x =1, but no minima",1
35,FID35,"The temperature field in a body varies according to the equation \( \mathrm{T}(x, y)=x^{3}+4 x y \). The direction of fastest variation in temperature at the point \( (1,0) \) is given by",NA,Easy,Single correct,\( 3 \hat{i}+8 \hat{j} \),\( \hat{i} \),\( 0.6 \hat{i}+0.8 \hat{j} \),\( 0.5 \hat{i}+0.866 \hat{j} \),3
37,FID37,What is the derivative of \( f(x)=|x| \) at \( x=0 \) ?,NA,Easy,Single correct,1,-1,0,Does Not Exist,2
38,FID38,The minimum point of the function \( f(x)=\left(x^{3} / 3\right)- \) \( x \) is at,NA,Easy,Single correct,\( x=1 \),\( x=-1 \),\( x=0 \),\( x=\frac{1}{\sqrt{3}} \),1
39,FID39,Volume of an object expressed in spherical coordinates is given by \[ \mathrm{V}=\int_{0}^{2 \pi} \int_{0}^{\pi / 3} \int_{0}^{1} r^{2} \sin \phi d r d \phi d \theta \]. Value of the integral is,NA,Easy,Single correct,\( \frac{\pi}{3} \),\( \frac{\pi}{6} \),\( \frac{2 \pi}{3} \),\( \frac{\pi}{4} \),1
40,FID40,"The function, \( y=x^{2}+\frac{250}{x} x=5 \) attains",NA,Easy,Single correct,maximum,minimum,neither,1,2
41,FID41,Volume generated by revolving the area bounded by the parabola \( y^{2}=8 x \) and the line \( x=2 \) about \( \mathrm{y} \)-axis is,NA,Easy,Single correct,\( \frac{128 \pi}{5} \),\( \frac{5}{128 \pi} \),\( \frac{127}{5 \pi} \),None of these,1
42,FID42,The integration of \( \int \log x . d x \) has the value,NA,Easy,Single correct,\( (x \log x-1) \),\( \log x-x \),\( x(\log x-1) \),None of these,3
43,FID43,Area bounded by the parabola \( 2 y=x^{2} \) and the line \( x=y-4 \) is equal to,NA,Easy,Single correct,6,8,\( \infty \),None of these,2
44,FID44,"If a function is continuous at a point, then its first derivative",NA,Easy,Single correct,may or may not exist,exists always,will not exist,has a unique value,4
45,FID45,The integral \( \lim _{a \rightarrow \infty} \int_{1}^{a} x^{-4} d x \),NA,Easy,Single correct,diverges,converges to \( \frac{1}{3} \),converges to \( -\frac{1}{a^{3}} \),converges to 0,1
46,FID46,"Given the function, \( f(x)=3 x^{2}-5 x+2 \)what is the value of \( f(2) \) ?",NA,Easy,Single correct,4,-4,2,10,1
47,FID47,"For the function \( g(x)=\frac{1}{x-3} \), what is the set of values for x such that g(x) is undefined?",NA,Easy,Single correct,\( \{3\} \),\( \{\mathbf{x} \in \mathbb{R} \mid \mathbf{x} \neq 3\} \),\( \{\mathrm{x} \in \mathbb{R} \mid \mathrm{x} > 3\} \),\( \{x \in \mathbb{R} \mid x \geq 3\} \),1
48,FID48,Consider the function \( h(x)=\sqrt{x+4} \). What is the domain of \( h \) ?,NA,Easy,Single correct,\( x \geq-4 \),\( x> -4 \),\( x \leq-4 \),\( x \in \mathbb{R} \),1
49,FID49,"If \( p(x)=e^{-x} \), what is the range of \( p \) ?",NA,Easy,Single correct,\( y> 0 \),\( y< 0 \),\( y \geq 0 \),\( y \in \mathbb{R} \),3
50,FID50,"For the function \( q(x)=\frac{x^{2}-9}{x-3} \), what is the set \( x \) of values for such that q\( x \) is undefined?",NA,Easy,Single correct,{ 3 },{ 9 },"{ 3,9 }",{0},1
52,FID52,"For the function \( h(x)=\frac{1}{x^{2}} \), what is the limit as approaches 0 from the \( {right}(h(x) \rightarrow \) ?)?",NA,Medium,Single correct,\( \infty \),0,1,Doesnot exist,1
54,FID54,The function \( f(x)=x^{3}-2 x^{2}+x+1 \) has a critical point at \( x=2 \). What can be said about at this critical point?,NA,Easy,Single correct,Local minimum,Local maximum,Saddle point,No conclusion can be drawn,4
55,FID55,"For the function \( f(x)=\ln (x) \), what is the domain?",NA,Easy,Single correct,"\( (0, \infty) \)","\( (-\infty, 0) \)","\( (0, \infty) \)","\( (-\infty, \infty) \)",1
56,FID56,"If \( f(x)=x^{2}+3 x+2 \), what are the roots of the equation \( f(x)=0 \) ?",NA,Easy,Single correct,-2 and -1,-1 and – 2,1 and 2,-2 and 1,2
57,FID57,"If \( g(x)=|x-3| \), what is the range of \( g(x) \) ?",NA,Easy,Single correct,"\( [0, \infty) \)","\( (-3, \infty) \)","\( (0, \infty) \)","\( [3, \infty) \)",1
58,FID58,What is the derivative of the function \[f(x)=\cos ^{2}(x) ?\],NA,Easy,Single correct,\( -2 \cos (x) \sin (x) \),\( -\sin (2 x) \),\( -2 \cos (x) \),\( 2 \sin (x) \cos (x) \),1
59,FID59,"For the function \( h(x)=\frac{x^{2}+4}{x-2} \), what is the vertical asymptote?",NA,Easy,Single correct,\( x=2 \),\( y=2 \),\( x=-2 \),\( y=-2 \),1
60,FID60,What is the value of \( \lim _{x \rightarrow \infty} \frac{e^{z}}{x^{2}} \) ?,NA,Easy,Single correct,\( \infty \),0,1,Does not exist,1
61,FID61,The function \( f(x)=x^{2} \) is:,NA,Easy,Single correct,Odd,Even,Neither odd nor even,Both odd and even,2
62,FID62,"If \( f(x)=3 x+1 \), what is the average rate of change of \( f(x) \) over the interval \( [1,4] \) ?",NA,Easy,Single correct,1,2,3,4,3
63,FID63,Which of the following statements is true about an extreme point of a function?,NA,Easy,Single correct,It is always a point where the function's derivative is zero,It is always a point where the function's derivative is undefined.,It is always a local maximum or minimum point of the function.,"It is either a local maximum, local minimum, or a point of inflection.",1
64,FID64,"If a function \( f(x) \) has a local maximum at \( x=a \), which of the following must be true?",NA,Easy,Single correct,\( f^{\prime}(a)=0 \),\( f^{\prime}(a) > 0 \),\( f^{\prime}(a) < 0 \),\( f^{\prime \prime}(a)=0 \),3
65,FID65,"If a function \( f(x) \) has a local minimum at \( x=a \), which of the following must be true?",NA,Easy,Single correct,\( f^{\prime}(a)=0 \),\( f^{\prime}(a) > 0 \),\( f^{\prime}(a) < 0 \),\( f^{\prime \prime}(a)=0 \),2
66,FID66,Which of the following functions has a local maximum at \( \mathrm{x}=2 \) ?,NA,Easy,Single correct,\( f(x)=x^{2}-4 x+4 \),\( f(x)=-x^{2}+4 x-4 \),\( f(x)=x^{3}-3 x^{2}+4 \),\( f(x)=-x^{3}+3 x^{2}-4 \),1
67,FID67,Which of the following functions has a local minimum at \( x=-1 \) ?,NA,Easy,Single correct,\( f(x)=x^{2}+2 x+1 \),\( f(x)=-x^{2}-2 x-1 \),\( f(x)=x^{3}+3 x^{2}-1 \),\( f(x)=-x^{3}-3 x^{2}+1 \),2
68,FID68,Which of the following functions has no extreme points?,NA,Easy,Single correct,\( f(x)=x \),\( f(x)=x^{2} \),\( f(x)=|x| \),\( f(x)=\sin (x) \),1
69,FID69,To find the critical points of a function you need to:,NA,Easy,Single correct,Set \( f(x) \) equal to zero.,Find the values of x where \( f^{\prime}(x)=0 \) or \( f^{\prime}(x) \) is underfined.,Find the values of \( x \) where \( f(x) \) is zero.,Set \( f(x) \) equal to one.,2
70,FID70,The second derivative test is used to determine:,NA,Easy,Single correct,The concavity of a function.,The critical points of a function.,The continuity of a function,The slope of a function,1
71,FID71,A function has a local minimum at a point \( x=a \) if:,NA,Easy,Single correct,\( f^{\prime}(a)=0 \) and \( f^{\prime \prime}(a) > 0 \),\( f^{\prime}(a)=0 \) and \( f^{\prime \prime}(a) < 0 \),\( f^{\prime}(a)=0 \) and \( f^{\prime \prime}(a)=0 \),\( f^{\prime}(a) < 0 \) and \( f^{\prime \prime}(a) > 0 \),1
72,FID72,The function \( f^{\prime}(x)=x^{3}-6 x^{2}+9 x \) has a local maximum at:,NA,Easy,Single correct,\( x=0 \),\( x=1 \),\( x=2 \),\( x=3 \),2
73,FID73,"If \( f(x)=x^{4}-8 x^{3}+18 x^{2} \), the global minimum occurs at:",NA,Easy,Single correct,\( x=0 \),\( x=1 \),\( x=2 \),\( x=3 \),3
74,FID74,The function \( f(x)=2 x^{3}-9 x^{2}+12 x+7 \) has a point of inflection at:,NA,Easy,Single correct,\( x=1 \),\( x=2 \),\( x=3 \),\( x=4 \),2
75,FID75,The absolute minimum of the function \( f(x)=x^{2}- \) \( 4 x+5 \) occurs at:,NA,Easy,Single correct,\( x=1 \),\( x=2 \),\( x=-2 \),\( x=0 \),2
76,FID76,The function \( f(x)=\frac{1}{x^{2}} \) has a minimum at :,NA,Easy,Single correct,\( x=0 \),\( x=1 \),\( x=-1 \),\( x=2 \),1
77,FID77,The function \( g(x)=e^{z}+e^{-z} \) has a local minimum at:,NA,Easy,Single correct,\( x=0 \),\( x=1 \),\( x=-1 \),\( x=2 \),1
78,FID78,The function \( h(x)=\sqrt{x^{2}-4 x+5} \) has a minimum at:,NA,Easy,Single correct,\( x=0 \),\( x=1 \),\( x=-2 \),\( x=2 \),1
79,FID79,The function \( f(x)=x^{3}+4 x^{2}+5 x+2 \) has,NA,Easy,Single correct,No local extrema,A local minimum but no local maximum,A local minimum but no local minimum,Both a local minimum and a local maximum,1
80,FID80,The function \( g(x)=x^{4}-4 x^{3}+4 x^{2} \) has:,NA,Easy,Single correct,No local extrema,A local minimum but no local maximum,A local minimum but no local minimum,Both a local minimum and a local maximum,2
81,FID81,The function \( h(x)=\frac{x^{2}-4}{x-2} \) has:,NA,Easy,Single correct,No local extrema,A local minimum but no local maximum,A local minimum but no local minimum,Both a local minimum and a local maximum,1
82,FID82,The function \( f(x)=x^{3}-3 x^{2}+2 x \) has a local minimum at:,NA,Easy,Single correct,\( x=0 \),\( x=1 \),\( x=2 \),\( x=3 \),2
83,FID83,The function \( g(x)=x^{3}-12 x+5 \) has a local maximum at :,NA,Easy,Single correct,\( x=0 \),\( x=1 \),\( x=-2 \),\( x=2 \),4
84,FID84,The function \( h(x)=4 x^{4}-16 x^{3}+18 x^{2} \) has :,NA,Easy,Single correct,No local extrema,A local minimum but no local maximum,A local minimum but no local minimum,Both a local minimum and a local maximum,4
85,FID85,"The function, \( f(x)=x^{3}-6 x^{2}+9 x+2 \) has :",NA,Easy,Single correct,No local extrema,A local minimum but no local maximum,A local minimum but no local minimum,Both a local minimum and a local maximum,3
86,FID86,The function \( h(x)=\sqrt{x^{2}-6 x+9} \) has a minimum at:,NA,Easy,Single correct,\( x=1 \),\( x=2 \),\( x=3 \),\( x=4 \),3
87,FID87,The function \( f(x)=\frac{1}{x^{2}+1} \) has a minimum at:,NA,Easy,Single correct,\( x=0 \),\( x=1 \),\( x=-1 \),\( x=2 \),4
88,FID88,"A rectangular garden is to be enclosed by a fence on the three sides and a wall on the fourth side. If the area of the garden is to be 100 square meters, what dimensions will require the least amount of fencing?",NA,Easy,Single correct,\( 10 \mathrm{~m} \times 10 \mathrm{~m} \),\( 5 \mathrm{~m} \times 20 \mathrm{~m} \),\( 25 \mathrm{~m} \times 4 \mathrm{~m} \),\( 15 \mathrm{~m} \times 6.67 \mathrm{~m} \),1
89,FID89,A company manufactures and sells x units of a product at a price of \( p(x)=50-0.02 x \) dollars per unit. The cost of producing x units is \( C(x) = 10x + 1000 \) dollars. What production level maximizes the company's profit?,NA,Easy,Single correct,500 units,1000 units,1500 units,2000 units,1
90,FID90,"A box with a square base and an open top is to be constructed from a square piece of cardboard by cutting out a square from each corner and folding up the sides. If the volume of the box is to be 1000 cubic centimeters, what dimensions of the cardboard will minimize the amount of material used?",NA,Easy,Single correct,\( 10 \mathrm{~cm} \times 10 \mathrm{~cm} \),\( 20 \mathrm{~cm} \times 20 \mathrm{~cm} \),\( 15 \mathrm{~cm} \times 15 \mathrm{~cm} \),\( 25 \mathrm{~cm} \times 25 \mathrm{~cm} \),3
91,FID91,"A farmer wants to fence in a rectangular plot of land adjacent to a river. No fence is needed along the river. If the farmer has 100 meters of fencing, what dimensions will enclose the maximum area?",NA,Easy,Single correct,\( 25 \mathrm{~m} \times 25 \mathrm{~m} \),\( 50 \mathrm{~m} \times 0 \mathrm{~m} \),\( 50 \mathrm{~m} \times 50 \mathrm{~m} \),\( 25 \mathrm{~m} \times 50 \mathrm{~m} \),4
92,FID92,Acompany sells a product for per unit. The cost of producing x units is given by \( C(x)=1000+20 x \) dollars. How many units should the company produce to maximize its profit?,NA,Easy,Single correct,100 units,50 units,25 units,0 units,1
93,FID93,"A rectangular box with a square base and a volume of 1000 cubic centimeters is to be constructed from two materials. The material for the top and bottom costs \( \$ 1 \) per square centimeter, and the material for the sides costs \( \$ 0.50 \) per square centimeter. Find the dimensions of the box that will minimize the cost of materials.",NA,Easy,Single correct,\( 10 \mathrm{~cm} \times 10 \mathrm{~cm} \times 10 \mathrm{~cm} \),\( 5 \mathrm{~cm} \times 5 \mathrm{~cm} \times 40 \mathrm{~cm} \),\( 25 \mathrm{~cm} \times 25 \mathrm{~cm} \times 1 \mathrm{~cm} \),\( 15 \mathrm{~cm} \times 15 \mathrm{~cm} \times 4 \mathrm{~cm} \),1
94,FID94,Consider the function \( f(x)=2 x^{3}-9 x^{2}+12 x+7 \). The local minimum of occurs at:,NA,Easy,Single correct,\( x=1 \),\( x=2 \),\( x=3 \),\( x=4 \),2
97,FID97,The \( \lim _{x \rightarrow 2} \frac{x^{2}-4}{x-2} \) is:,NA,Easy,Single correct,0,1,2,Does not exist,1
98,FID98,Which of the following statements are true about limits?,NA,Easy,Multi correct,A function can have a limit at a point even if it is not defined at that point.,"If a function is continuous at a point, then its limit exists at that point.",The limit of a function at a point is always equal to the value of the function at that point.,The limit of a function at a point can exist even if the function oscillates infinitely near that point.,"1,2,4"
99,FID99,The function \( g(x)=e^{z}-e^{-z} \) has a local minimum at:,NA,Easy,Single correct,\( x=0 \),\( x=1 \),\( x=-1 \),\( x=2 \),1
100,FID100,Consider the function \( f(x)=\left(x^{2}-4\right) /(x-2) \). Which of the following statements are true about its limit as approaches 2 ?,NA,Easy,Multi correct,The limit does not exist because the function is not defined at x=2,"The limit is equal to 4 , which can be found by direct substitution.",The limit can be found using L'Hôpital's rule.,The limit can be found by simplifying the expression as (x+2).,"3,4"
101,FID101,Which of the following techniques can be used to find limits of functions?,NA,Easy,Multi correct,Direct substitution,Factoring and canceling common factors,Rationalizing the numerator or denominator,L'Hopital's rule,"1,2,3,4"
102,FID102,Which of the following functions have a limit of 0 as approaches infinity?,NA,Easy,Multi correct,\( f(x)=1 / x \),\( g(x)=\sin (x) / x \),\( h(x)=e^{x} \),\( k(x)=\sqrt{x} \),"1,2"
103,FID103,Which of the following limits exist?,NA,Easy,Multi correct,\( \lim (x \rightarrow 1)\left(x^{2}-1\right) /(x-1) \),\( \lim (x \rightarrow 0) \sin (1 / x) \),\( \lim (x \rightarrow \infty)(x+1) /\left(x^{2}-1\right) \),\( \lim (x \rightarrow-2) 1 /(x+2) \),"1,3,4"
104,FID104,Which of the following statements are true about extreme points of a function?,NA,Easy,Multi correct,"An extreme point can be a maximum, minimum, or neither.",An extreme point must be a point where the function's derivative is zero.,An extreme point can occur at the endpoint of a function's domain.,An extreme point can only occur within the open interval of a function's domain.,"1,3,4"
105,FID105,Consider the function \( f(x)=x^{3}-3 x \).Which of the following statements are true about its extreme points?,NA,Easy,Multi correct,The function has a maximum at \( \mathrm{x}=-1 \).,The function has a minimum at \( x=1 \).,The function has an inflection point at \( \mathrm{x}=0 \).,The function has no extreme points.,"1,2"
106,FID106,Which of the following techniques can be used to find extreme points of a function?,NA,Easy,Multi correct,Finding the points where the derivative is zero.,Finding the points where the second derivative is zero.,Examining the function's behavior at its endpoints.,Using a graphing calculator to visualize the function's behavior.,"1,2,3,4"
107,FID107,Which of the following functions have a maximum point at \( \mathrm{x}=0 \) ?,NA,Easy,Multi correct,\( f(x)=x^{2} \),\( g(x)=-x^{2} \),\( \mathrm{h}(\mathrm{x})=\sin (\mathrm{x}) \),\( \mathrm{k}(\mathrm{x})=\cos (\mathrm{x}) \),"1,2"
108,FID108,Which of the following functions have no extreme points?,NA,Easy,Multi correct,\( f(x)=x \),\( g(x)=e^{x} \),\( \mathrm{h}(\mathrm{x})=\sin (\mathrm{x})+\cos (\mathrm{x}),\mathrm{k}(\mathrm{x})=|\mathrm{x}| \),"1,2,3"
109,FID109,Which of the following statements are true about maxima and minima of functions?,NA,Easy,Multi correct,A function can have both a maximum and a minimum point within its domain.,Afunction can have multiple maxima or minima.,A function can have a maximum or a minimum at an endpoint of its domain.,A function can have a maximum or a minimum at a point where its derivative is undefined,"1,2,3,4"
110,FID110,Consider the function \( f(x)=x^{3}-3 x^{2} \). Which of the following statements are true about its maxima and minima?,NA,Easy,Multi correct,The function has a maximum at x=0,The function has a minimum at x=2 .,The function has no inflection points.,The function is always increasing.,"1,2"
111,FID111,"Which of the following techniques can be used to classify a critical point (where the derivative is 0 or undefined) as a maximum, minimum, or neither?",NA,Easy,Multi correct,The first derivative test,The second derivative test,Examining the function's behavior near the critical point,Using a graphing calculator to visualize the function's behavior.,"1,2,3,4"
112,FID112,Which of the following functions have a global maximum point at \( \mathrm{x}=0 \) ?,NA,Easy,Multi correct,\( f(x)=-x^{4} \),\( g(x)=e\left(-x^{2}\right) \),\( \mathrm{h}(\mathrm{x})=\sin (\mathrm{x})+1 \),\( \mathrm{k}(\mathrm{x})=-\cos (\mathrm{x}) \),"1,2"
113,FID113,Which of the following functions have a local minimum point at \( \mathrm{x}=1 \) ?,NA,Easy,Multi correct,\( f(x)=x^{3}-3 x^{2}+3 x+1 \),\( g(x)=x^{4}-4 x^{3}+6 x^{2}-4 x+1 \),\( \mathrm{h}(\mathrm{x})=\sin (\mathrm{x}-1) \),\( \mathrm{k}(\mathrm{x})=|\mathrm{x}-1| \),"1,2"
114,FID114,Consider the following definite integral : \( \int_{0}^{1} \frac{x^{2}}{\sqrt{1-x^{2}}} d x \),NA,Easy,Multi correct,The integrand is an even function,The integrand is an odd function.,The given integral is equal to \( \frac{\pi}{4} \).,The given integral is equal to \( \frac{\pi}{6} \).,"1,2,3"
115,FID115,Evaluate the following improper integral : \( \int_{1}^{(x)} \frac{e^{-x}}{x} d x \). Which of the following statements are true?,NA,Easy,Multi correct,The integral converges.,The integral diverges.,The integral can be evaluated using the Comparison Test.,The integral can be evaluated using the Limit Comparison Test.,"1,3,4"
116,FID116,Evaluate the following definite integral : \( \int_{0}^{1} \frac{\ln (x)}{x} d x \). Which of the following statements are true?,NA,Easy,Multi correct,The integral converges.,The integral diverges.,The integrand is not defined for \( x=1 \).,The integral can be evaluated using integration by parts.,"1,3,4"
117,FID117,Consider the following integral : \( \int_{-\infty}^{\infty} \frac{\sin (x)}{x} d x \). Which of the following statements are true?,NA,Easy,Multi correct,The integral converges.,The integral diverges.,The integral is an even function.,The integral can be evaluated using Fourier Transform.,"1,3"
118,FID118,Evaluate the following definite integral: \( \int_{0}^{\pi} x \sin (x) d x \). Which of the following statements are true?,NA,Easy,Multi correct,The integral is equal to \( \pi \).,The integral is equal to \( \frac{\pi}{2} \).,The integral is equal to \( \frac{\pi^{2}}{2} \).,The integral can be evaluated using integration by parts.,"3,4"
