question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,language,question_type,student_solution,reference_solution,test_case_1,test_case_2,test_case_3,test_case_4,test_case_5
12,21038,"Given a string , return the output of the string",NA,Easy,Python,Fill in the blank,https://drive.google.com/file/d/1zvXD1dN7axtSoyOB0t-KR4SBLmwexOJi/view?usp=drive_link,https://drive.google.com/file/d/1QX159eHuPkNboH8UBU4uDXcIi9HJ5OJl/view?usp=drive_link,"""python""",""" """,,,
13,21038,Print all the prime numbers less than the given number n,NA,Medium,Python,Fill in the blank,https://drive.google.com/file/d/1FaF89zmDE_97IXkOVjAb8-5GNxWwDtE9/view?usp=drive_link,https://drive.google.com/file/d/1ganRSOvEBajIHUnPOYVrju-0YzfMrxHN/view?usp=drive_link,2,10,,,
14,21038,Given the binary representation of a number return the decimal,NA,Medium,Python,Fill in the blank,https://drive.google.com/file/d/18dHyK7F-upW_KwG2Xqa2DSdvCG8x4Wzl/view?usp=drive_link,https://drive.google.com/file/d/1AQJCR3H-P-BgjLADg3bRKVn1d-u7mT7l/view?usp=drive_link,"""0""","""10""","""110""",,
15,21038,Given the decimal number return the binary representation of the number,NA,Easy,Python,Fill in the blank,https://drive.google.com/file/d/1jcgd6BxmSDTcctpquk5sE_uRbEJvug0_/view?usp=drive_link,https://drive.google.com/file/d/1xipXt12cL69lRlGhhaEjTAHSnLBp1yDZ/view?usp=drive_link,10,7,2,,
16,21038,Find the frequency of each charcter present in the string,NA,Medium,Python,Fill in the blank,https://drive.google.com/file/d/1HAuWd4EfPIlc6qyy5woihMIK8ijHY2DE/view?usp=drive_link,https://drive.google.com/file/d/1ztYLxVmNbRDyxiQ5jfFd_NZRuqngMRi8/view?usp=drive_link,"""hello world""","""abbbccd""",,,
17,21028,"Given a character \( ch \), write a function that returns the ASCII value of the character.",NA,Easy,Python,Full function,https://drive.google.com/file/d/1VlCyZ1ofM9HrWq1BVDe8lENnUe7mkDd4/view?usp=drive_link,https://drive.google.com/file/d/1HZ7VXHl6ms6ai9IMkZeiiY62wzxhMMZ7/view?usp=drive_link,a,A,z,Z,
18,21028,"Given a positive integer n, write a function find_divisors(n) that returns a list of all divisors of n.",NA,Easy,Python,Fill in the blank,https://drive.google.com/file/d/14a4s_p2FCdkZIV00mRbNwlWsKpD84F2p/view?usp=drive_link,https://drive.google.com/file/d/1l26SkQg_g3ok8K25PPcfrZO8ZEI4RQIT/view?usp=drive_link,10,6,14,,
19,21028,"In combinatorics, the number of ways to choose \( r \) elements from a set of \( n \) elements without regard to the order of selection is given by the binomial coefficient, commonly denoted as \( \binom{n}{r} \) or ""n choose r"". The formula to calculate this is:
\[\binom{n}{r} = \frac{n!}{r!(n-r)!}\]
where \( n! \) (n factorial) is the product of all positive integers up to \( n \).",NA,Easy,Python,Full function,https://drive.google.com/file/d/1VlCyZ1ofM9HrWq1BVDe8lENnUe7mkDd4/view?usp=drive_link,https://drive.google.com/file/d/1F0sjM9V3CHlt2Wio0Ra4rtltoqD9_ato/view?usp=drive_link,5c2,3c1,2c1,4c3,
20,21028,"A magic square is a \( n \times n \) grid of distinct positive integers from 1 to \( n^2 \) such that the sum of the integers in each row, each column, and both main diagonals is the same. This sum is known as the magic constant or magic sum.

Write a function \texttt{generateMagicSquare(n)} that generates an \( n \times n \) magic square if \( n \) is odd. For the purposes of this problem, you can assume \( n \) will always be an odd positive integer.",NA,Medium,Python,Fill in the blank,https://drive.google.com/file/d/19pIS4n4k1ndGyjmPNNDR8bVWqLPAqUAv/view?usp=drive_link,https://drive.google.com/file/d/1f1TxcNoXelOcmODnizCAwLTmSPgX-SnZ/view?usp=drive_link,1,7,5,3,
21,21028,"The N-Queens problem is a classic combinatorial problem that involves placing \(N\) chess queens on an \(N \times N\) chessboard so that no two queens threaten each other. This means that no two queens can be in the same row, the same column, or on the same diagonal.

Write a function \texttt{solveNQueens(N)} that returns all distinct solutions to the N-Queens puzzle. Each solution contains a distinct board configuration of the N-Queens' placement, where 'Q' represents a queen and '.' represents an empty space.",NA,Hard,Python,Full function,https://drive.google.com/file/d/1ClkV8u5bNgvRAlQN0y5nWpNH4-D4oH5h/view?usp=drive_link,https://drive.google.com/file/d/1GysmRYr7y7pIrwZOTqiLHQ3k4cpksohU/view?usp=drive_link,1,2,4,,
